country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-25,0.7444178100330675,0.8240599374498907,0.6647756826162443,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-26,0.7488758090440683,0.8225598759223292,0.6751917421658074,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-27,0.7621377354970332,0.8340984191188116,0.6901770518752549,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-28,0.7852568569322529,0.8602506889425584,0.7102630249219474,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-29,0.8186480713400123,0.8986297389290933,0.7386664037509313,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-30,0.8613190108589266,0.9449210585803435,0.7777169631375097,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-05-31,0.9102598448156067,0.9942780535561618,0.8262416360750516,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-01,0.9609895480171537,1.0424418282356893,0.8795372677986183,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-02,1.0076971494368347,1.0858576247433946,0.9295366741302749,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-03,1.0445042195331822,1.1212559280227439,0.9677525110436205,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-04,1.0670625014860706,1.1445947597041854,0.9895302432679558,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-05,1.0748868767069133,1.1542104252902552,0.9955633281235714,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-06,1.0692644771545607,1.1505699988903846,0.9879589554187369,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-07,1.0505925006205996,1.132697810242989,0.9684871909982103,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-08,1.019323198903956,1.100186536010974,0.938459861796938,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-09,0.9796432386445516,1.058801057887159,0.9004854194019443,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-10,0.9385983149915227,1.0176574932357367,0.8595391367473086,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-11,0.901237788856726,0.9816883834051598,0.8207871943082922,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-12,0.8680651682528554,0.9510945710966316,0.7850357654090792,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-13,0.837118171485029,0.924299427498043,0.749936915472015,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-14,0.8088211355581046,0.8999218256846483,0.717720445431561,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-15,0.7862778037738712,0.8783875775226747,0.6941680300250678,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-16,0.7745117333796587,0.8645095126678729,0.6845139540914446,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-17,0.776968806900439,0.8632758134702867,0.6906618003305913,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-18,0.7943742390448121,0.8756892735963435,0.7130592044932806,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-19,0.8239616265433676,0.8992010299633633,0.7487222231233719,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-20,0.8606049161282122,0.9354238491642316,0.788297500890666,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-21,0.8998552450221577,0.9780065740310735,0.823222106038798,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-22,0.9398497413837458,1.0263537384278236,0.8533457443396679,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-23,0.9807875859688613,1.0786607061992153,0.8829144657385074,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-24,1.0212803734241171,1.1292612754708826,0.9132994713773518,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-25,1.05763305884337,1.1716026427461403,0.9436634749405995,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-26,1.0857481190336005,1.1996878987255182,0.9718083393416828,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-06-27,1.1017143620422747,1.210344268630368,0.9930844554541814,ITA
